time_sec,leg_id,planned_x_rel_m,planned_y_rel_m,planned_z_rel_m,actual_x_rel_m,actual_y_rel_m,actual_z_rel_m,actual_x_abs_m,actual_y_abs_m,actual_z_abs_m
0.182839,3,0.004779,0.000000,0.001371,0.003219,0.000029,0.001717,-0.034423,-0.107971,-0.261588
0.185868,0,0.004858,0.000000,0.001416,0.001696,0.000613,0.002374,-0.039381,0.108613,-0.261342
0.185868,1,0.004858,0.000000,0.001416,0.003969,-0.001685,0.002741,-0.033356,-0.109685,-0.260345
0.185868,2,0.004858,0.000000,0.001416,0.003864,0.001180,0.002277,-0.032671,0.109180,-0.262255
0.185868,3,0.004858,0.000000,0.001416,0.003322,0.000029,0.001755,-0.034320,-0.107971,-0.261550
0.189151,0,0.004944,0.000000,0.001467,0.001803,0.000629,0.002428,-0.039274,0.108629,-0.261287
0.189151,1,0.004944,0.000000,0.001467,0.004067,-0.001693,0.002796,-0.033258,-0.109693,-0.260290
0.189151,2,0.004944,0.000000,0.001467,0.003970,0.001164,0.002312,-0.032566,0.109164,-0.262220
0.189151,3,0.004944,0.000000,0.001467,0.003438,0.000037,0.001794,-0.034204,-0.107963,-0.261511
0.192719,0,0.005037,0.000000,0.001522,0.001910,0.000636,0.002489,-0.039167,0.108636,-0.261227
0.192719,1,0.005037,0.000000,0.001522,0.004173,-0.001700,0.002859,-0.033152,-0.109700,-0.260227
0.192719,2,0.005037,0.000000,0.001522,0.004091,0.001164,0.002351,-0.032444,0.109164,-0.262180
0.192719,3,0.005037,0.000000,0.001522,0.003549,0.000029,0.001844,-0.034093,-0.107971,-0.261461
0.195798,0,0.005117,0.000000,0.001571,0.002011,0.000644,0.002559,-0.039066,0.108644,-0.261156
0.195798,1,0.005117,0.000000,0.001571,0.004298,-0.001700,0.002928,-0.033027,-0.109700,-0.260158
0.195798,2,0.005117,0.000000,0.001571,0.004202,0.001156,0.002395,-0.032333,0.109156,-0.262137
0.195798,3,0.005117,0.000000,0.001571,0.003657,0.000037,0.001884,-0.033985,-0.107963,-0.261421
0.198677,0,0.005192,0.000000,0.001617,0.002059,0.000636,0.002609,-0.039018,0.108636,-0.261106
0.198677,1,0.005192,0.000000,0.001617,0.004385,-0.001715,0.002994,-0.032940,-0.109715,-0.260092
0.198677,2,0.005192,0.000000,0.001617,0.004313,0.001155,0.002433,-0.032223,0.109155,-0.262099
0.198677,3,0.005192,0.000000,0.001617,0.003771,0.000029,0.001928,-0.033871,-0.107971,-0.261377
0.201814,0,0.005274,0.000000,0.001669,0.002133,0.000668,0.002682,-0.038945,0.108668,-0.261034
0.201814,1,0.005274,0.000000,0.001669,0.004486,-0.001730,0.003064,-0.032839,-0.109730,-0.260022
0.201814,2,0.005274,0.000000,0.001669,0.004410,0.001155,0.002476,-0.032125,0.109155,-0.262056
0.201814,3,0.005274,0.000000,0.001669,0.003874,0.000037,0.001972,-0.033768,-0.107963,-0.261333
0.205038,0,0.005358,0.000000,0.001722,0.002251,0.000675,0.002744,-0.038826,0.108675,-0.260972
0.205038,1,0.005358,0.000000,0.001722,0.004589,-0.001738,0.003134,-0.032736,-0.109738,-0.259952
0.205038,2,0.005358,0.000000,0.001722,0.004516,0.001147,0.002514,-0.032020,0.109147,-0.262017
0.205038,3,0.005358,0.000000,0.001722,0.003974,0.000021,0.002024,-0.033668,-0.107979,-0.261282
0.208043,0,0.005436,0.000000,0.001773,0.002340,0.000683,0.002804,-0.038737,0.108683,-0.260912
0.208043,1,0.005436,0.000000,0.001773,0.004695,-0.001745,0.003197,-0.032630,-0.109745,-0.259889
0.208043,2,0.005436,0.000000,0.001773,0.004627,0.001147,0.002561,-0.031909,0.109147,-0.261970
0.208043,3,0.005436,0.000000,0.001773,0.004083,0.000013,0.002080,-0.033560,-0.107987,-0.261225
0.210350,0,0.005496,0.000000,0.001812,0.002378,0.000691,0.002860,-0.038700,0.108691,-0.260856
